地震の発生日,地震の発生時刻,震央地名,緯度,経度,深さ,Ｍ,最大震度
2021/12/06,11:10:27.9,トカラ列島近海,29°17.2′N,129°23.8′E,18 km,2.8,震度１
2021/12/06,11:09:41.0,トカラ列島近海,29°16.5′N,129°26.0′E,16 km,3.1,震度２
2021/12/06,11:09:01.5,伊豆大島近海,34°45.3′N,139°19.9′E,5 km,2.4,震度２
2021/12/06,11:02:48.9,トカラ列島近海,29°16.3′N,129°19.3′E,28 km,2.3,震度１
2021/12/06,10:59:25.8,トカラ列島近海,29°17.9′N,129°19.5′E,20 km,3.6,震度２
2021/12/06,10:58:58.3,トカラ列島近海,29°20.3′N,129°22.8′E,18 km,4.1,震度３
2021/12/06,10:57:01.5,トカラ列島近海,29°17.7′N,129°25.8′E,19 km,2.7,震度１
2021/12/06,10:55:50.1,トカラ列島近海,29°16.1′N,129°26.6′E,16 km,3.1,震度２
2021/12/06,10:48:27.4,トカラ列島近海,29°16.3′N,129°23.7′E,21 km,3.2,震度２
2021/12/06,10:47:27.5,トカラ列島近海,29°18.8′N,129°19.4′E,22 km,3.3,震度２
2021/12/06,10:43:25.4,トカラ列島近海,29°17.7′N,129°25.4′E,19 km,2.5,震度１
2021/12/06,09:46:31.3,トカラ列島近海,29°19.3′N,129°23.6′E,24 km,3.1,震度１
2021/12/06,09:24:06.7,トカラ列島近海,29°21.6′N,129°21.7′E,19 km,3.8,震度２
2021/12/06,08:16:57.6,トカラ列島近海,29°22.6′N,129°17.1′E,24 km,3.9,震度２
2021/12/06,07:47:34.0,トカラ列島近海,29°19.7′N,129°19.6′E,24 km,2.7,震度１
2021/12/06,07:17:28.8,トカラ列島近海,29°16.3′N,129°22.9′E,13 km,3.5,震度２
2021/12/06,07:16:55.3,トカラ列島近海,29°19.3′N,129°23.6′E,20 km,3.5,震度２
2021/12/06,06:49:48.3,熊本県熊本地方,32°34.5′N,130°42.5′E,11 km,2.5,震度１
2021/12/06,05:53:25.5,熊本県熊本地方,32°34.5′N,130°42.6′E,11 km,2.7,震度１
2021/12/06,05:52:36.9,トカラ列島近海,29°17.3′N,129°20.2′E,18 km,2.1,震度１
2021/12/06,04:53:01.4,トカラ列島近海,29°19.2′N,129°21.6′E,24 km,3.1,震度１
2021/12/06,04:33:19.5,トカラ列島近海,29°18.8′N,129°24.4′E,19 km,3.4,震度２
2021/12/06,03:14:37.6,トカラ列島近海,29°17.8′N,129°23.3′E,19 km,3.1,震度２
2021/12/06,02:24:25.1,トカラ列島近海,29°16.5′N,129°21.6′E,18 km,2.3,震度１
2021/12/06,01:48:01.4,トカラ列島近海,29°17.0′N,129°20.3′E,20 km,2.8,震度１
2021/12/06,01:34:45.2,トカラ列島近海,29°17.4′N,129°16.9′E,23 km,2.3,震度１
